name,play
SECOND MESSENGER,THE TRAGEDY OF ANTONY AND CLEOPATRA
SELEUCUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
ANGELO,THE COMEDY OF ERRORS
ALL CONSPIRATORS,TWO VOLSCIAN GUARDS
LADY,TWO BRITISH CAPTAINS
DUKE SENIOR,AS YOU LIKE IT
SECOND SOLDIER,VENUS AND ADONIS
SICINIUS,TWO VOLSCIAN GUARDS
TITUS LARTIUS,TWO VOLSCIAN GUARDS
JAILER,THE COMEDY OF ERRORS
SECOND LORD,TWO BRITISH CAPTAINS
HELENA,VENUS AND ADONIS
FIRST GENTLEMAN,TWO BRITISH CAPTAINS
ATTENDANT,TWO BRITISH CAPTAINS
VENTIDIUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
LEPIDUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
ALL THREE CITIZENS,TWO VOLSCIAN GUARDS
PAROLLES,VENUS AND ADONIS
FOURTH LORD,VENUS AND ADONIS
ABBESS,THE COMEDY OF ERRORS
ALL LORDS,TWO VOLSCIAN GUARDS
IMOGEN,TWO BRITISH CAPTAINS
THIRD CONSPIRATOR,TWO VOLSCIAN GUARDS
THIRD SOLDIER,THE TRAGEDY OF ANTONY AND CLEOPATRA
LE BEAU,AS YOU LIKE IT
ALL,THE TRAGEDY OF ANTONY AND CLEOPATRA
LUCIANA,THE COMEDY OF ERRORS
SECOND LORD,TWO VOLSCIAN GUARDS
WILLIAM,AS YOU LIKE IT
FIRST LORD,TWO VOLSCIAN GUARDS
LAFEW,VENUS AND ADONIS
CITIZEN,TWO VOLSCIAN GUARDS
ALL,VENUS AND ADONIS
VOLSCE,TWO VOLSCIAN GUARDS
MENECRATES,THE TRAGEDY OF ANTONY AND CLEOPATRA
LIEUTENANT,TWO VOLSCIAN GUARDS
JAQUES DE BOYS,AS YOU LIKE IT
MERCHANT,THE COMEDY OF ERRORS
KING,VENUS AND ADONIS
PAGE,VENUS AND ADONIS
THIRD SERVINGMAN,TWO VOLSCIAN GUARDS
MENAS,THE TRAGEDY OF ANTONY AND CLEOPATRA
CANIDIUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
MESSENGER,THE COMEDY OF ERRORS
CAPTAIN,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND SERVINGMAN,TWO VOLSCIAN GUARDS
MARDIAN,THE TRAGEDY OF ANTONY AND CLEOPATRA
AMIENS,AS YOU LIKE IT
SECOND WATCH,TWO VOLSCIAN GUARDS
FIRST GENTLEMAN,VENUS AND ADONIS
ADAM,AS YOU LIKE IT
AUFIDIUS,TWO VOLSCIAN GUARDS
PATRICIAN,TWO VOLSCIAN GUARDS
WIDOW,VENUS AND ADONIS
AMBASSADOR,THE TRAGEDY OF ANTONY AND CLEOPATRA
BALTHASAR,THE COMEDY OF ERRORS
SECOND SOLDIER,TWO VOLSCIAN GUARDS
CLOTEN,TWO BRITISH CAPTAINS
HERALD,TWO VOLSCIAN GUARDS
SOOTHSAYER,TWO BRITISH CAPTAINS
FIRST CITIZEN,TWO VOLSCIAN GUARDS
SECOND SENATOR,TWO VOLSCIAN GUARDS
SECOND ROMAN,TWO VOLSCIAN GUARDS
AEDILES,TWO VOLSCIAN GUARDS
MARIANA,VENUS AND ADONIS
POMPEY,THE TRAGEDY OF ANTONY AND CLEOPATRA
ROSALIND,AS YOU LIKE IT
SECOND SENATOR,TWO BRITISH CAPTAINS
AGRIPPA,THE TRAGEDY OF ANTONY AND CLEOPATRA
PISANIO,TWO BRITISH CAPTAINS
SILIUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
CORIN,AS YOU LIKE IT
COURTESAN,THE COMEDY OF ERRORS
DOLABELLA,THE TRAGEDY OF ANTONY AND CLEOPATRA
FIRST SOLDIER,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND LORD,VENUS AND ADONIS
SOOTHSAYER,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND GUARD,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND GENTLEMAN,VENUS AND ADONIS
TRIBUNES,TWO VOLSCIAN GUARDS
BOTH,VENUS AND ADONIS
FOURTH SOLDIER,THE TRAGEDY OF ANTONY AND CLEOPATRA
DROMIO OF SYRACUSE,THE COMEDY OF ERRORS
SECOND SERVANT,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND LORD,AS YOU LIKE IT
ARVIRAGUS,TWO BRITISH CAPTAINS
FIRST ROMAN,TWO VOLSCIAN GUARDS
TAURUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
CELIA,AS YOU LIKE IT
FIRST LORD,TWO BRITISH CAPTAINS
JAQUES,AS YOU LIKE IT
SENATORS,TWO VOLSCIAN GUARDS
FIFTH CITIZEN,TWO VOLSCIAN GUARDS
ALL PLEBEIANS,TWO VOLSCIAN GUARDS
MESSENGER,TWO BRITISH CAPTAINS
THIDIAS,THE TRAGEDY OF ANTONY AND CLEOPATRA
THIRD ROMAN,TWO VOLSCIAN GUARDS
OCTAVIA,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND PAGE,AS YOU LIKE IT
VIRGILIA,TWO VOLSCIAN GUARDS
ANTONY,THE TRAGEDY OF ANTONY AND CLEOPATRA
IRAS,THE TRAGEDY OF ANTONY AND CLEOPATRA
DIOMEDES,THE TRAGEDY OF ANTONY AND CLEOPATRA
MARTEXT,AS YOU LIKE IT
THIRD LORD,TWO VOLSCIAN GUARDS
MAECENAS,THE TRAGEDY OF ANTONY AND CLEOPATRA
BOTH,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND MESSENGER,TWO VOLSCIAN GUARDS
TRIBUNE,TWO BRITISH CAPTAINS
MARTIUS,TWO VOLSCIAN GUARDS
CAPTAIN,TWO BRITISH CAPTAINS
FIRST GUARD,THE TRAGEDY OF ANTONY AND CLEOPATRA
SONG,AS YOU LIKE IT
LORD,TWO BRITISH CAPTAINS
ROMAN,TWO VOLSCIAN GUARDS
ALEXAS,THE TRAGEDY OF ANTONY AND CLEOPATRA
ORLANDO,AS YOU LIKE IT
VALERIA,TWO VOLSCIAN GUARDS
MESSENGER,TWO VOLSCIAN GUARDS
BOTH TRIBUNES,TWO VOLSCIAN GUARDS
SERVANT,THE TRAGEDY OF ANTONY AND CLEOPATRA
LARTIUS,TWO VOLSCIAN GUARDS
DIANA,VENUS AND ADONIS
GUARDSMAN,THE TRAGEDY OF ANTONY AND CLEOPATRA
GENTLEMAN,VENUS AND ADONIS
BERTRAM,VENUS AND ADONIS
TOUCHSTONE,AS YOU LIKE IT
MESSENGER,THE TRAGEDY OF ANTONY AND CLEOPATRA
ENOBARBUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
PROCULEIUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
FIRST SERVANT,THE TRAGEDY OF ANTONY AND CLEOPATRA
CHARLES,AS YOU LIKE IT
COMINIUS,TWO VOLSCIAN GUARDS
THE SONG,THE TRAGEDY OF ANTONY AND CLEOPATRA
ALL CITIZENS,TWO VOLSCIAN GUARDS
BOTH,TWO BRITISH CAPTAINS
EGYPTIAN,THE TRAGEDY OF ANTONY AND CLEOPATRA
SENTRY,THE TRAGEDY OF ANTONY AND CLEOPATRA
PAGES,AS YOU LIKE IT
CORNELIUS,TWO BRITISH CAPTAINS
SCARUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
MENENIUS,TWO VOLSCIAN GUARDS
BRUTUS,TWO VOLSCIAN GUARDS
FIRST OFFICER,TWO VOLSCIAN GUARDS
FIRST LORD,VENUS AND ADONIS
DERCETUS,THE TRAGEDY OF ANTONY AND CLEOPATRA
GENTLEWOMAN,TWO VOLSCIAN GUARDS
BOTH CITIZENS,TWO VOLSCIAN GUARDS
DROMIO OF EPHESUS,THE COMEDY OF ERRORS
SECOND CITIZEN,TWO VOLSCIAN GUARDS
SIXTH CITIZEN,TWO VOLSCIAN GUARDS
SEVENTH CITIZEN,TWO VOLSCIAN GUARDS
ANTIPHOLUS OF EPHESUS,THE COMEDY OF ERRORS
SOLDIER,TWO VOLSCIAN GUARDS
FIRST PATRICIAN,TWO VOLSCIAN GUARDS
FIRST SOLDIER,VENUS AND ADONIS
CLEOPATRA,THE TRAGEDY OF ANTONY AND CLEOPATRA
HYMEN,AS YOU LIKE IT
OFFICER,THE TRAGEDY OF ANTONY AND CLEOPATRA
ADRIANA,THE COMEDY OF ERRORS
THIRD CITIZEN,TWO VOLSCIAN GUARDS
ALL PATRICIANS,TWO VOLSCIAN GUARDS
AEDILE,TWO VOLSCIAN GUARDS
OFFICER,THE COMEDY OF ERRORS
OFFICER,TWO VOLSCIAN GUARDS
KING OF FRANCE,VENUS AND ADONIS
THE DUKE OF FLORENCE,VENUS AND ADONIS
EROS,THE TRAGEDY OF ANTONY AND CLEOPATRA
SILVIUS,AS YOU LIKE IT
EGEON,THE COMEDY OF ERRORS
DIANA CAPILET,VENUS AND ADONIS
PINCH,THE COMEDY OF ERRORS
CYMBELINE,TWO BRITISH CAPTAINS
ALL THE SERVANTS,THE TRAGEDY OF ANTONY AND CLEOPATRA
SECOND WATCH,THE TRAGEDY OF ANTONY AND CLEOPATRA
FRENCHMAN,TWO BRITISH CAPTAINS
FOURTH CITIZEN,TWO VOLSCIAN GUARDS
CLOWN,VENUS AND ADONIS
SOLDIER,THE TRAGEDY OF ANTONY AND CLEOPATRA
OLIVER,AS YOU LIKE IT
IACHIMO,TWO BRITISH CAPTAINS
COUNTESS,VENUS AND ADONIS
FIRST SENATOR,TWO VOLSCIAN GUARDS
CORIOLANUS,TWO VOLSCIAN GUARDS
LADY NORTHUMBERLAND,THE SECOND PART OF KING HENRY THE FOURTH
EDWARD,SIR HUMPHREY STAFFORD
RICHARD,SIR HUMPHREY STAFFORD
LAERTES,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
PRINCE,THE SECOND PART OF KING HENRY THE FOURTH
CARDINAL,SIR HUMPHREY STAFFORD
HAMLET,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
GLOUCESTER,THE SECOND PART OF KING HENRY THE FOURTH
GOWER,THE SECOND PART OF KING HENRY THE FOURTH
TALBOT,COUNTESS OF AUVERGNE
GHOST,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
FIRST PLAYER,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
SERVANT,COUNTESS OF AUVERGNE
MOTHER,TWO BRITISH CAPTAINS
OSRIC,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
POINS,THE SECOND PART OF KING HENRY THE FOURTH
FRANCISCO,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
COLEVILE,THE SECOND PART OF KING HENRY THE FOURTH
LANCASTER,THE SECOND PART OF KING HENRY THE FOURTH
MARCELLUS,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
CHAMBERLAIN,THE FIRST PART OF KING HENRY THE FOURTH
RUMOUR,THE SECOND PART OF KING HENRY THE FOURTH
SHALLOW,THE SECOND PART OF KING HENRY THE FOURTH
OFFICER,COUNTESS OF AUVERGNE
MICHAEL,SIR HUMPHREY STAFFORD
KING HENRY,SIR JOHN SOMERVILLE
DAVY,THE SECOND PART OF KING HENRY THE FOURTH
BISHOP OF ELY,THE LIFE OF KING HENRY THE FIFTH
CANTERBURY,THE LIFE OF KING HENRY THE FIFTH
SOLDIER,COUNTESS OF AUVERGNE
KING HENRY,COUNTESS OF AUVERGNE
LORDS,THE LIFE OF KING HENRY THE FIFTH
SIMPCOX,SIR HUMPHREY STAFFORD
WARWICK,COUNTESS OF AUVERGNE
SHERIFF,THE FIRST PART OF KING HENRY THE FOURTH
FIRST SOLDIER,COUNTESS OF AUVERGNE
GADSHILL,THE FIRST PART OF KING HENRY THE FOURTH
FIRST CARRIER,THE FIRST PART OF KING HENRY THE FOURTH
CAMBRIDGE,THE LIFE OF KING HENRY THE FIFTH
SERVANT,THE FIRST PART OF KING HENRY THE FOURTH
LUCY,COUNTESS OF AUVERGNE
MESSENGER,THE SECOND PART OF KING HENRY THE FOURTH
CARRIER,THE FIRST PART OF KING HENRY THE FOURTH
GLOUCESTER,COUNTESS OF AUVERGNE
VOLTEMAND,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
PETO,THE SECOND PART OF KING HENRY THE FOURTH
SERVANT,THE SECOND PART OF KING HENRY THE FOURTH
EXETER,COUNTESS OF AUVERGNE
SENTINEL,COUNTESS OF AUVERGNE
ROSENCRANTZ,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
JUPITER,TWO BRITISH CAPTAINS
BLUNT,THE FIRST PART OF KING HENRY THE FOURTH
PRINCE HUMPHREY OF GLOUCESTER,THE SECOND PART OF KING HENRY THE FOURTH
HUME,SIR HUMPHREY STAFFORD
PAGE,THE SECOND PART OF KING HENRY THE FOURTH
LIEUTENANT,SIR HUMPHREY STAFFORD
SIR JOHN FALSTAFF,THE SECOND PART OF KING HENRY THE FOURTH
WART,THE SECOND PART OF KING HENRY THE FOURTH
BARDOLPH,THE LIFE OF KING HENRY THE FIFTH
DUKE OF BURGUNDY,THE LIFE OF KING HENRY THE FIFTH
GOVERNOR,THE LIFE OF KING HENRY THE FIFTH
SERVINGMEN,COUNTESS OF AUVERGNE
HARCOURT,THE SECOND PART OF KING HENRY THE FOURTH
CLARENCE,THE SECOND PART OF KING HENRY THE FOURTH
ELY,THE LIFE OF KING HENRY THE FIFTH
SALISBURY,COUNTESS OF AUVERGNE
KING,THE FIRST PART OF KING HENRY THE FOURTH
BARNARDO,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
BOTH,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
JOHN TALBOT,COUNTESS OF AUVERGNE
VINTNER,THE FIRST PART OF KING HENRY THE FOURTH
BOY,COUNTESS OF AUVERGNE
FANG,THE SECOND PART OF KING HENRY THE FOURTH
CLERK,SIR HUMPHREY STAFFORD
FORTINBRAS,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
SECOND CLOWN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
HOSTESS,THE FIRST PART OF KING HENRY THE FOURTH
EARL OF SALISBURY,THE LIFE OF KING HENRY THE FIFTH
ARCHBISHOP OF CANTERBURY,THE LIFE OF KING HENRY THE FIFTH
WARWICK,THE LIFE OF KING HENRY THE FIFTH
SUFFOLK,SIR HUMPHREY STAFFORD
EPILOGUE,THE LIFE OF KING HENRY THE FIFTH
REYNALDO,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
FRENCH KING,THE LIFE OF KING HENRY THE FIFTH
OPHELIA,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
DAUPHIN,THE LIFE OF KING HENRY THE FIFTH
SALISBURY,THE LIFE OF KING HENRY THE FIFTH
WINCHESTER,COUNTESS OF AUVERGNE
NORTHUMBERLAND,THE SECOND PART OF KING HENRY THE FOURTH
SIR THOMAS GREY,THE LIFE OF KING HENRY THE FIFTH
KING,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
PROLOGUE,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
MORTON,THE SECOND PART OF KING HENRY THE FOURTH
FLUELLEN,THE LIFE OF KING HENRY THE FIFTH
SIR MICHAEL,THE FIRST PART OF KING HENRY THE FOURTH
WARWICK,THE SECOND PART OF KING HENRY THE FOURTH
BARDOLPH,THE FIRST PART OF KING HENRY THE FOURTH
JAMY,THE LIFE OF KING HENRY THE FIFTH
SHEPHERD,COUNTESS OF AUVERGNE
HOTSPUR,THE FIRST PART OF KING HENRY THE FOURTH
SERVANT,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
HOSTESS,THE LIFE OF KING HENRY THE FIFTH
STANLEY,SIR HUMPHREY STAFFORD
DANES,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
QUEEN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
BOLINGBROKE,SIR HUMPHREY STAFFORD
KING,THE LIFE OF KING HENRY THE FIFTH
GUILDENSTERN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
SILENCE,THE SECOND PART OF KING HENRY THE FOURTH
BURGUNDY,COUNTESS OF AUVERGNE
GOWER,THE LIFE OF KING HENRY THE FIFTH
ERPINGHAM,THE LIFE OF KING HENRY THE FIFTH
ELEANOR,SIR HUMPHREY STAFFORD
CLIFFORD,SIR HUMPHREY STAFFORD
GREY,THE LIFE OF KING HENRY THE FIFTH
KATHARINE,THE LIFE OF KING HENRY THE FIFTH
BURGUNDY,THE LIFE OF KING HENRY THE FIFTH
FIRST BROTHER,TWO BRITISH CAPTAINS
KING HENRY V,THE LIFE OF KING HENRY THE FIFTH
PUCELLE,COUNTESS OF AUVERGNE
SCOUT,COUNTESS OF AUVERGNE
ARCHBISHOP,THE SECOND PART OF KING HENRY THE FOURTH
FIRST CLOWN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
FIRST TRAVELLER,THE FIRST PART OF KING HENRY THE FOURTH
WESTMORLAND,THE LIFE OF KING HENRY THE FIFTH
BOURBON,THE LIFE OF KING HENRY THE FIFTH
BASSET,COUNTESS OF AUVERGNE
DICK,SIR HUMPHREY STAFFORD
SAYE,SIR HUMPHREY STAFFORD
MONTAGUE,SIR JOHN SOMERVILLE
WESTMORELAND,THE FIRST PART OF KING HENRY THE FOURTH
BROTHER,SIR HUMPHREY STAFFORD
GLENDOWER,THE FIRST PART OF KING HENRY THE FOURTH
ALL,SIR HUMPHREY STAFFORD
MESSENGER,SIR HUMPHREY STAFFORD
PRINCE,THE FIRST PART OF KING HENRY THE FOURTH
PRINCE JOHN OF LANCASTER,THE SECOND PART OF KING HENRY THE FOURTH
YORK,SIR HUMPHREY STAFFORD
TOWNSMAN,SIR HUMPHREY STAFFORD
MAYOR,COUNTESS OF AUVERGNE
BOTH,SIR HUMPHREY STAFFORD
SIR JOHN BLUNT,THE SECOND PART OF KING HENRY THE FOURTH
EARL OF WESTMORLAND,THE LIFE OF KING HENRY THE FIFTH
MATE,SIR HUMPHREY STAFFORD
GEORGE,SIR HUMPHREY STAFFORD
MESSENGER,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
QUEEN ISABEL,THE LIFE OF KING HENRY THE FIFTH
EXETER,THE LIFE OF KING HENRY THE FIFTH
REIGNIER,COUNTESS OF AUVERGNE
LORD,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
MAYOR,SIR HUMPHREY STAFFORD
CLIFFORD,SIR JOHN SOMERVILLE
SECOND CAPTAIN,TWO BRITISH CAPTAINS
HORNER,SIR HUMPHREY STAFFORD
SECOND BROTHER,TWO BRITISH CAPTAINS
SHADOW,THE SECOND PART OF KING HENRY THE FOURTH
WHITMORE,SIR HUMPHREY STAFFORD
MORTIMER,COUNTESS OF AUVERGNE
SOMERSET,COUNTESS OF AUVERGNE
SCALES,SIR HUMPHREY STAFFORD
GLOUCESTER,THE LIFE OF KING HENRY THE FIFTH
DOLL TEARSHEET,THE SECOND PART OF KING HENRY THE FOURTH
HERALD,THE LIFE OF KING HENRY THE FIFTH
PORTER,COUNTESS OF AUVERGNE
WARWICK,SIR JOHN SOMERVILLE
MOWBRAY,THE SECOND PART OF KING HENRY THE FOURTH
SHERIFF,SIR HUMPHREY STAFFORD
SECOND SERVINGMAN,COUNTESS OF AUVERGNE
MARGARET,COUNTESS OF AUVERGNE
MASTER,SIR HUMPHREY STAFFORD
PETO,THE FIRST PART OF KING HENRY THE FOURTH
NORTHUMBERLAND,THE FIRST PART OF KING HENRY THE FOURTH
SECOND DRAWER,THE SECOND PART OF KING HENRY THE FOURTH
EARL OF CAMBRIDGE,THE LIFE OF KING HENRY THE FIFTH
VAUX,SIR HUMPHREY STAFFORD
BUCKINGHAM,SIR HUMPHREY STAFFORD
SOMERSET,SIR HUMPHREY STAFFORD
DOLL,THE SECOND PART OF KING HENRY THE FOURTH
WESTMORELAND,THE SECOND PART OF KING HENRY THE FOURTH
CHORUS,THE LIFE OF KING HENRY THE FIFTH
ALL,THE LIFE OF KING HENRY THE FIFTH
QUEEN MARGARET,SIR HUMPHREY STAFFORD
EARL OF HUNTINGDON,THE LIFE OF KING HENRY THE FIFTH
BARDOLPH,THE SECOND PART OF KING HENRY THE FOURTH
PETER,SIR HUMPHREY STAFFORD
PLAYER QUEEN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
SECOND TRAVELLER,THE FIRST PART OF KING HENRY THE FOURTH
EARL OF WESTMORELAND,THE SECOND PART OF KING HENRY THE FOURTH
FIRST GROOM,THE SECOND PART OF KING HENRY THE FOURTH
ALICE,THE LIFE OF KING HENRY THE FIFTH
BEVIS,SIR HUMPHREY STAFFORD
CADE,SIR HUMPHREY STAFFORD
RICHARD,SIR JOHN SOMERVILLE
GARGRAVE,COUNTESS OF AUVERGNE
SERGEANT,COUNTESS OF AUVERGNE
EARL OF WARWICK,THE LIFE OF KING HENRY THE FIFTH
BEDFORD,THE LIFE OF KING HENRY THE FIFTH
ALL,TWO BRITISH CAPTAINS
SECOND GROOM,THE SECOND PART OF KING HENRY THE FOURTH
BROTHERS,TWO BRITISH CAPTAINS
PISTOL,THE LIFE OF KING HENRY THE FIFTH
ALL,COUNTESS OF AUVERGNE
ARCHBISHOP,THE FIRST PART OF KING HENRY THE FOURTH
BULLCALF,THE SECOND PART OF KING HENRY THE FOURTH
PLANTAGENET,COUNTESS OF AUVERGNE
FRANCIS,THE FIRST PART OF KING HENRY THE FOURTH
PORTER,THE SECOND PART OF KING HENRY THE FOURTH
DUKE OF BOURBON,THE LIFE OF KING HENRY THE FIFTH
FIRST SERVINGMAN,COUNTESS OF AUVERGNE
EPILOGUE,THE SECOND PART OF KING HENRY THE FOURTH
POLONIUS,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
PLAYER KING,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
MESSENGER,COUNTESS OF AUVERGNE
YOUNG CLIFFORD,SIR HUMPHREY STAFFORD
HOSTESS,THE SECOND PART OF KING HENRY THE FOURTH
LADY PERCY,THE SECOND PART OF KING HENRY THE FOURTH
LANCASTER,THE FIRST PART OF KING HENRY THE FOURTH
FIRST SENTINEL,COUNTESS OF AUVERGNE
BATES,THE LIFE OF KING HENRY THE FIFTH
GENERAL,COUNTESS OF AUVERGNE
SNARE,THE SECOND PART OF KING HENRY THE FOURTH
FIRST BEADLE,THE SECOND PART OF KING HENRY THE FOURTH
NYM,THE LIFE OF KING HENRY THE FIFTH
DUKE OF BRITTANY,THE LIFE OF KING HENRY THE FIFTH
FASTOLF,COUNTESS OF AUVERGNE
FIRST AMBASSADOR,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
THIEVES,THE FIRST PART OF KING HENRY THE FOURTH
HOLLAND,SIR HUMPHREY STAFFORD
GLANSDALE,COUNTESS OF AUVERGNE
YORK,COUNTESS OF AUVERGNE
EARL OF WARWICK,THE SECOND PART OF KING HENRY THE FOURTH
LORD SCROOP,THE LIFE OF KING HENRY THE FIFTH
SECOND GAOLER,TWO BRITISH CAPTAINS
SERVINGMEN,SIR HUMPHREY STAFFORD
HERALD,SIR HUMPHREY STAFFORD
MONTJOY,THE LIFE OF KING HENRY THE FIFTH
LEGATE,COUNTESS OF AUVERGNE
GAOLER,TWO BRITISH CAPTAINS
SECOND CARRIER,THE FIRST PART OF KING HENRY THE FOURTH
YORK,SIR JOHN SOMERVILLE
EXETER,SIR JOHN SOMERVILLE
WOODVILLE,COUNTESS OF AUVERGNE
KING HENRY,SIR HUMPHREY STAFFORD
FIRST AMBASSADOR,THE LIFE OF KING HENRY THE FIFTH
STAFFORD,SIR HUMPHREY STAFFORD
FIRST WARDER,COUNTESS OF AUVERGNE
COMMONS,SIR HUMPHREY STAFFORD
HORATIO,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
BOY,THE LIFE OF KING HENRY THE FIFTH
MORTIMER,THE FIRST PART OF KING HENRY THE FOURTH
AMBASSADOR,THE LIFE OF KING HENRY THE FIFTH
MACMORRIS,THE LIFE OF KING HENRY THE FIFTH
RAMBURES,THE LIFE OF KING HENRY THE FIFTH
WIFE,SIR HUMPHREY STAFFORD
FEEBLE,THE SECOND PART OF KING HENRY THE FOURTH
DUKE OF ORLEANS,THE LIFE OF KING HENRY THE FIFTH
FIRST JAILER,COUNTESS OF AUVERGNE
CAPTAIN,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
MASTER GUNNER,COUNTESS OF AUVERGNE
SMITH,SIR HUMPHREY STAFFORD
CAPTAIN,COUNTESS OF AUVERGNE
KING HENRY,THE LIFE OF KING HENRY THE FIFTH
VERNON,COUNTESS OF AUVERGNE
PISTOL,THE SECOND PART OF KING HENRY THE FOURTH
DUKE OF BERRY,THE LIFE OF KING HENRY THE FIFTH
THIRD SERVINGMAN,COUNTESS OF AUVERGNE
EDWARD,SIR JOHN SOMERVILLE
PRIEST,"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK"
CHIEF JUSTICE,THE SECOND PART OF KING HENRY THE FOURTH
PRINCES,THE SECOND PART OF KING HENRY THE FOURTH
SALISBURY,SIR HUMPHREY STAFFORD
LORD BARDOLPH,THE SECOND PART OF KING HENRY THE FOURTH
CONSTABLE,THE LIFE OF KING HENRY THE FIFTH
LAWYER,COUNTESS OF AUVERGNE
GLOUCESTER,SIR HUMPHREY STAFFORD
WARWICK,SIR HUMPHREY STAFFORD
DOUGLAS,THE FIRST PART OF KING HENRY THE FOURTH
